company,role,status,furthest_stage,applied_date,source,location
Nimbus Cloud,Data Analyst II,Ghosted,Recruiter Screen,2026-03-15,Direct,Remote
Meridian Labs,BI Analyst,Ghosted,Applied,2026-03-17,Referral,Hybrid
Greylock Retail,Product Analyst,Ghosted,Applied,2026-03-23,LinkedIn,SoCal
Kestrel Insurance,Business Analyst,Rejected,Recruiter Screen,2026-03-23,Recruiter inbound,Hybrid
Kestrel Insurance,Data Analyst II,Applied,Applied,2026-03-25,Referral,Relocation
Crescent Bank,Business Analyst,Final Round,Final Round,2026-03-25,LinkedIn,SoCal
Granite Ventures,Data Analyst II,Applied,Applied,2026-03-27,LinkedIn,Remote
Halcyon Health,Analytics Engineer,Rejected,Recruiter Screen,2026-03-29,LinkedIn,Remote
Tidewater Analytics,Data Analyst,Rejected,Applied,2026-04-03,Direct,Hybrid
Summit Logistics,Product Analyst,Applied,Applied,2026-04-05,Referral,Hybrid
Verdant Foods,Data Analyst II,Interviewing,Interviewing,2026-04-10,Recruiter inbound,Hybrid
Cobalt Systems,Product Analyst,Ghosted,Applied,2026-04-11,Referral,Hybrid
Beacon Metrics,Data Analyst,Applied,Applied,2026-04-12,Direct,SoCal
Beacon Metrics,Marketing Analyst,Rejected,Applied,2026-04-13,Direct,Remote
Polaris Data,Marketing Analyst,Ghosted,Applied,2026-04-20,Recruiter inbound,SoCal
Quanta Group,Data Analyst,Recruiter Screen,Recruiter Screen,2026-04-20,Direct,Relocation
Foundry Analytics,Business Analyst,Applied,Applied,2026-04-22,Direct,Hybrid
Driftwood Labs,BI Analyst,Applied,Applied,2026-04-24,Recruiter inbound,SoCal
Halcyon Health,Marketing Analyst,Applied,Applied,2026-04-27,Recruiter inbound,SoCal
Ironwood Software,Marketing Analyst,Rejected,Applied,2026-04-29,Recruiter inbound,Hybrid
Summit Logistics,Data Analyst II,Interviewing,Interviewing,2026-04-30,LinkedIn,Remote
Cedar & Co,Data Analyst II,Rejected,Applied,2026-05-05,Referral,Hybrid
Driftwood Labs,BI Analyst,Rejected,Recruiter Screen,2026-05-05,LinkedIn,Relocation
Atlas Mobility,Business Analyst,Applied,Applied,2026-05-07,LinkedIn,SoCal
Lumen Insights,Product Analyst,Rejected,Applied,2026-05-09,Referral,Relocation
Greylock Retail,BI Analyst,Rejected,Interviewing,2026-05-13,Recruiter inbound,SoCal
Crescent Bank,Marketing Analyst,Ghosted,Applied,2026-05-14,LinkedIn,Remote
Aster Technologies,Data Analyst,Rejected,Interviewing,2026-05-14,LinkedIn,Relocation
Verdant Foods,BI Analyst,Applied,Applied,2026-05-16,LinkedIn,Remote
Atlas Mobility,Product Analyst,Recruiter Screen,Recruiter Screen,2026-05-16,Direct,SoCal
Sable Robotics,Data Analyst,Rejected,Applied,2026-05-17,Direct,Relocation
Polaris Data,Data Analyst,Offer,Offer,2026-05-20,Direct,SoCal
Vantage BI,Analytics Engineer,Recruiter Screen,Recruiter Screen,2026-05-22,Referral,Hybrid
Quanta Group,Product Analyst,Applied,Applied,2026-05-25,Direct,Remote
Helio Analytics,Data Analyst II,Ghosted,Applied,2026-05-25,Referral,SoCal
Tidewater Analytics,Data Analyst II,Applied,Applied,2026-05-27,Recruiter inbound,Remote
Vantage BI,Data Analyst II,Applied,Applied,2026-05-28,Direct,SoCal
Nimbus Cloud,Data Analyst,Applied,Applied,2026-05-31,LinkedIn,Relocation
Marigold Media,Data Analyst,Ghosted,Applied,2026-06-01,Recruiter inbound,Remote
Brightline Energy,Business Analyst,Applied,Applied,2026-06-02,Recruiter inbound,Relocation
Foundry Analytics,BI Analyst,Rejected,Recruiter Screen,2026-06-04,LinkedIn,Hybrid
Helio Analytics,Analytics Engineer,Rejected,Interviewing,2026-06-04,Referral,SoCal
Brightline Energy,Product Analyst,Rejected,Recruiter Screen,2026-06-10,Recruiter inbound,Relocation
Aster Technologies,Analytics Engineer,Ghosted,Applied,2026-06-11,Recruiter inbound,Relocation
Granite Ventures,Product Analyst,Recruiter Screen,Recruiter Screen,2026-06-11,LinkedIn,Relocation
Onyx Financial,Marketing Analyst,Ghosted,Applied,2026-06-16,Referral,Relocation
Northwind Data,Business Analyst,Rejected,Applied,2026-06-17,Recruiter inbound,Relocation
Onyx Financial,Analytics Engineer,Rejected,Final Round,2026-06-17,Recruiter inbound,Hybrid
